记录时间：2018-12-15 10:20:14,445 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：程序启动
记录时间：2018-12-15 10:24:08,955 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:24:08:End-------------

记录时间：2018-12-15 10:24:11,955 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:24:11:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:24:11,955 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:24:11:Begin-------------

记录时间：2018-12-15 10:24:14,456 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:24:14:End-------------

记录时间：2018-12-15 10:24:17,457 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:24:17:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:24:17,457 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:24:17:Begin-------------

记录时间：2018-12-15 10:24:19,959 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:24:19:End-------------

记录时间：2018-12-15 10:24:22,959 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:24:22:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:24:22,959 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:24:22:Begin-------------

记录时间：2018-12-15 10:24:25,461 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:24:25:End-------------

记录时间：2018-12-15 10:24:28,461 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:24:28:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:24:28,461 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:24:28:Begin-------------

记录时间：2018-12-15 10:24:30,962 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:24:30:End-------------

记录时间：2018-12-15 10:24:33,962 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:24:33:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:24:33,962 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:24:33:Begin-------------

记录时间：2018-12-15 10:24:36,465 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:24:36:End-------------

记录时间：2018-12-15 10:24:39,465 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:24:39:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:24:39,465 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:24:39:Begin-------------

记录时间：2018-12-15 10:24:41,967 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:24:41:End-------------

记录时间：2018-12-15 10:24:44,967 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:24:44:Begin-------------

记录时间：2018-12-15 10:24:44,967 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:24:44:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:24:47,469 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:24:47:End-------------

记录时间：2018-12-15 10:24:50,469 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:24:50:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:24:50,469 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:24:50:Begin-------------

记录时间：2018-12-15 10:24:52,972 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:24:52:End-------------

记录时间：2018-12-15 10:24:55,972 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:24:55:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:24:55,972 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:24:55:Begin-------------

记录时间：2018-12-15 10:24:58,474 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:24:58:End-------------

记录时间：2018-12-15 10:25:01,474 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:01:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:25:01,474 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:01:Begin-------------

记录时间：2018-12-15 10:25:03,975 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:03:End-------------

记录时间：2018-12-15 10:25:06,975 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:06:Begin-------------

记录时间：2018-12-15 10:25:06,975 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:06:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:25:09,478 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:09:End-------------

记录时间：2018-12-15 10:25:12,478 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:12:没有设备可以抓取,回到原点

